date,total_cases,new_cases,new_deaths,icu_patients,hosp_patients,total_vaccinations,new_vaccinations
2020-01-23,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,8.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,9.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,10.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,11.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,13.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,14.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,15.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,19.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,20.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,22.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,28.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,33.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,38.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,45.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,51.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,59.0,8.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,71.0,12.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,90.0,19.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,98.0,8.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,120.0,22.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,144.0,24.0,1.0,0.0,0.0,0.0,0.0
2020-03-10,165.0,21.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,228.0,63.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,289.0,61.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,386.0,97.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,453.0,67.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,549.0,96.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,700.0,151.0,3.0,0.0,0.0,0.0,0.0
2020-03-17,854.0,154.0,2.0,0.0,0.0,0.0,0.0
2020-03-18,1097.0,243.0,5.0,0.0,0.0,0.0,0.0
2020-03-19,1349.0,252.0,1.0,0.0,0.0,0.0,0.0
2020-03-20,1692.0,343.0,3.0,0.0,0.0,0.0,0.0
2020-03-21,2195.0,503.0,3.0,0.0,0.0,0.0,0.0
2020-03-22,2652.0,457.0,4.0,0.0,0.0,0.0,0.0
2020-03-23,3298.0,646.0,7.0,0.0,0.0,0.0,0.0
2020-03-24,3997.0,699.0,5.0,0.0,0.0,0.0,0.0
2020-03-25,4570.0,573.0,13.0,0.0,0.0,0.0,0.0
2020-03-26,5511.0,941.0,12.0,0.0,0.0,0.0,0.0
2020-03-27,6380.0,869.0,7.0,0.0,0.0,0.0,0.0
2020-03-28,7310.0,930.0,17.0,0.0,0.0,0.0,0.0
2020-03-29,8246.0,936.0,15.0,0.0,0.0,0.0,0.0
2020-03-30,9478.0,1232.0,19.0,0.0,0.0,0.0,0.0
2020-03-31,10711.0,1233.0,35.0,0.0,0.0,0.0,0.0
2020-04-01,12023.0,1312.0,23.0,193.0,520.0,0.0,0.0
